id,prop_vac,census_tract,estimate,numb_biz,n_vac
535,0,Census Tract 69 Bronx County,17570,26,NA
536,0.1538461538,Census Tract 69 Bronx County,17570,26,4
537,0.09302325581,Census Tract 185 Bronx County,19493,43,4
538,0.1333333333,Census Tract 143 Bronx County,12388,15,2
539,0,Census Tract 143 Bronx County,12388,15,NA
540,0.06896551724,Census Tract 145 Bronx County,13261,29,2
541,0.03125,Census Tract 141 Bronx County,17826,32,1
542,0.0625,Census Tract 173 Bronx County,14978,16,1
543,0,Census Tract 173 Bronx County,14978,16,NA
544,0,Census Tract 177.01 Bronx County,14989,12,NA
545,0,Census Tract 175 Bronx County,14651,20,NA
546,0.08333333333,Census Tract 177.01 Bronx County,14989,12,1
547,0,Census Tract 61 Bronx County,35500,18,NA
548,0.05555555556,Census Tract 61 Bronx County,35500,18,1
549,0,Census Tract 197 Bronx County,16566,41,NA
550,0,Census Tract 183.02 Bronx County,18244,8,NA
551,0,Census Tract 181.01 Bronx County,17813,21,NA
552,0,Census Tract 179.01 Bronx County,13279,16,NA
553,0.09523809524,Census Tract 181.01 Bronx County,17813,21,2
554,0.0625,Census Tract 179.01 Bronx County,13279,16,1
555,0,Census Tract 181.02 Bronx County,19690,18,NA
556,0.1111111111,Census Tract 181.02 Bronx County,19690,18,2
557,0,Census Tract 59.02 Bronx County,17671,15,NA
558,0.06666666667,Census Tract 59.02 Bronx County,17671,15,1
559,0,Census Tract 183.01 Bronx County,19835,19,NA
560,0.1578947368,Census Tract 183.01 Bronx County,19835,19,3
561,0.07317073171,Census Tract 197 Bronx County,16566,41,3
562,0,Census Tract 221.02 Bronx County,17823,21,NA
563,0,Census Tract 195 Bronx County,17507,34,NA
564,0.05882352941,Census Tract 195 Bronx County,17507,34,2
565,0,Census Tract 221.01 Bronx County,16829,27,NA
566,0,Census Tract 189 Bronx County,17329,27,NA
567,0,Census Tract 193 Bronx County,15848,16,NA
568,0,Census Tract 199 Bronx County,18586,23,NA
569,0,Census Tract 211 Bronx County,17447,16,NA
570,0.1111111111,Census Tract 189 Bronx County,17329,27,3
571,0.04347826087,Census Tract 199 Bronx County,18586,23,1
572,0.0625,Census Tract 211 Bronx County,17447,16,1
573,0,Census Tract 201 Bronx County,16274,11,NA
574,0.09090909091,Census Tract 201 Bronx County,16274,11,1
575,0,Census Tract 27.01 Bronx County,12783,20,NA
576,0,Census Tract 27.02 Bronx County,11952,16,NA
577,0,Census Tract 33 Bronx County,13107,8,NA
578,0,Census Tract 37 Bronx County,13906,1,NA
579,0,Census Tract 35 Bronx County,19783,20,NA
580,0.0625,Census Tract 27.02 Bronx County,11952,16,1
581,0,Census Tract 31 Bronx County,24436,26,NA
582,0.03846153846,Census Tract 31 Bronx County,24436,26,1
583,0,Census Tract 83 Bronx County,16258,38,NA
584,0.07894736842,Census Tract 83 Bronx County,16258,38,3
585,0,Census Tract 93 Bronx County,16158,93,NA
586,0,Census Tract 149 Bronx County,18703,17,NA
587,0,Census Tract 75 Bronx County,16888,5,NA
588,0.2,Census Tract 75 Bronx County,16888,5,1
589,0,Census Tract 129.01 Bronx County,15917,48,NA
590,0,Census Tract 73 Bronx County,15817,21,NA
591,0.1428571429,Census Tract 73 Bronx County,15817,21,3
592,0,Census Tract 135 Bronx County,15900,8,NA
593,0.1379310345,Census Tract 79 Bronx County,14926,29,4
594,0,Census Tract 79 Bronx County,14926,29,NA
595,0,Census Tract 77 Bronx County,17500,12,NA
596,0,Census Tract 151 Bronx County,19049,33,NA
597,0.09090909091,Census Tract 151 Bronx County,19049,33,3
598,0,Census Tract 133 Bronx County,17838,4,NA
599,0.08333333333,Census Tract 77 Bronx County,17500,12,1
600,0.1041666667,Census Tract 129.01 Bronx County,15917,48,5
601,0,Census Tract 131 Bronx County,22564,17,NA
602,0.05882352941,Census Tract 131 Bronx County,22564,17,1
603,0,Census Tract 85 Bronx County,15855,25,NA
604,0,Census Tract 87 Bronx County,17244,40,NA
605,0.1,Census Tract 87 Bronx County,17244,40,4
606,0.2,Census Tract 85 Bronx County,15855,25,5
607,0,Census Tract 159 Bronx County,10160,24,NA
608,0,Census Tract 125 Bronx County,17690,25,NA
609,0,Census Tract 89 Bronx County,16157,27,NA
610,0.07407407407,Census Tract 89 Bronx County,16157,27,2
611,0.08333333333,Census Tract 159 Bronx County,10160,24,2
612,0,Census Tract 127.01 Bronx County,12808,23,NA
613,0.1304347826,Census Tract 127.01 Bronx County,12808,23,3
614,0.2,Census Tract 125 Bronx County,17690,25,5
615,0,Census Tract 115.02 Bronx County,13562,31,NA
616,0.08602150538,Census Tract 93 Bronx County,16158,93,8
617,0,Census Tract 119 Bronx County,16566,27,NA
618,0.07407407407,Census Tract 119 Bronx County,16566,27,2
619,0,Census Tract 121.01 Bronx County,14849,13,NA
620,1,Census Tract 121.02 Bronx County,12452,1,1
621,0.07692307692,Census Tract 121.01 Bronx County,14849,13,1
622,0.03225806452,Census Tract 115.02 Bronx County,13562,31,1
623,0,Census Tract 117 Bronx County,19746,14,NA
624,0,Census Tract 177.02 Bronx County,14641,21,NA
625,0.04761904762,Census Tract 177.02 Bronx County,14641,21,1
626,0,Census Tract 225 Bronx County,16265,26,NA
627,0,Census Tract 229.02 Bronx County,19265,12,NA
628,0,Census Tract 229.01 Bronx County,16383,8,NA
629,0.125,Census Tract 229.01 Bronx County,16383,8,1
630,0,Census Tract 233.02 Bronx County,14964,7,NA
631,0.1428571429,Census Tract 233.02 Bronx County,14964,7,1
632,0,Census Tract 233.01 Bronx County,15137,26,NA
633,0,Census Tract 241 Bronx County,18545,44,NA
634,0,Census Tract 235.01 Bronx County,14238,23,NA
635,0,Census Tract 235.02 Bronx County,16071,36,NA
636,0.02777777778,Census Tract 235.02 Bronx County,16071,36,1
637,0,Census Tract 381 Bronx County,19837,25,NA
638,0.07692307692,Census Tract 225 Bronx County,16265,26,2
639,0,Census Tract 227.01 Bronx County,17387,23,NA
640,0,Census Tract 227.03 Bronx County,30327,7,NA
641,0.09090909091,Census Tract 241 Bronx County,18545,44,4
642,0,Census Tract 179.02 Bronx County,17341,7,NA
643,0,Census Tract 223 Bronx County,15537,25,NA
644,0,Census Tract 209 Bronx County,15692,21,NA
645,0.04761904762,Census Tract 209 Bronx County,15692,21,1
646,0,Census Tract 227.02 Bronx County,18581,22,NA
647,0.1111111111,Census Tract 221.01 Bronx County,16829,27,3
648,0.04761904762,Census Tract 221.02 Bronx County,17823,21,1
649,0.04,Census Tract 223 Bronx County,15537,25,1
650,0.09090909091,Census Tract 227.02 Bronx County,18581,22,2
651,0,Census Tract 219 Bronx County,17896,20,NA
652,0.05,Census Tract 219 Bronx County,17896,20,1
653,0,Census Tract 217 Bronx County,14347,13,NA
654,0.07692307692,Census Tract 217 Bronx County,14347,13,1
655,0,Census Tract 243 Bronx County,14364,36,NA
656,0.1666666667,Census Tract 243 Bronx County,14364,36,6
657,0,Census Tract 215.02 Bronx County,13732,25,NA
658,0,Census Tract 213.02 Bronx County,19329,6,NA
659,0,Census Tract 213.01 Bronx County,16000,11,NA
660,0.1666666667,Census Tract 213.02 Bronx County,19329,6,1
661,0.09090909091,Census Tract 213.01 Bronx County,16000,11,1
662,0,Census Tract 205.02 Bronx County,13116,2,NA
663,0,Census Tract 215.01 Bronx County,18419,22,NA
664,0,Census Tract 245.01 Bronx County,12385,9,NA
665,0,Census Tract 53 Bronx County,12041,3,NA
666,0,Census Tract 311 New York County,NA,3,NA
667,0,Census Tract 167 Bronx County,15316,15,NA
668,0.1818181818,Census Tract 165 Bronx County,15870,11,2
669,0,Census Tract 165 Bronx County,15870,11,NA
670,0,Census Tract 231 Bronx County,15735,32,NA
671,0.125,Census Tract 231 Bronx County,15735,32,4
672,0,Census Tract 395 Bronx County,17093,51,NA
673,0,Census Tract 169 Bronx County,15369,12,NA
674,0,Census Tract 147.01 Bronx County,12527,3,NA
675,0,Census Tract 147.02 Bronx County,12868,1,NA
676,0.1666666667,Census Tract 169 Bronx County,15369,12,2
677,0.05882352941,Census Tract 149 Bronx County,18703,17,1
678,0,Census Tract 155 Bronx County,14623,20,NA
679,0.1,Census Tract 155 Bronx County,14623,20,2
680,0,Census Tract 369.02 Bronx County,14096,2,NA
681,0,Census Tract 369.01 Bronx County,13687,17,NA
682,0,Census Tract 367 Bronx County,14191,2,NA
683,0,Census Tract 365.02 Bronx County,13260,19,NA
684,0.1052631579,Census Tract 365.02 Bronx County,13260,19,2
685,0,Census Tract 153 Bronx County,14820,8,NA
686,0,Census Tract 123 Bronx County,15560,13,NA
687,0.07692307692,Census Tract 123 Bronx County,15560,13,1
688,0,Census Tract 157 Bronx County,17337,7,NA
689,0,Census Tract 161 Bronx County,13363,31,NA
690,0,Census Tract 359 Bronx County,14537,7,NA
691,0.03225806452,Census Tract 161 Bronx County,13363,31,1
692,0.1428571429,Census Tract 157 Bronx County,17337,7,1
693,0,Census Tract 399.02 Bronx County,17607,33,NA
694,0.1818181818,Census Tract 399.02 Bronx County,17607,33,6
695,0,Census Tract 379 Bronx County,13490,17,NA
696,0.1764705882,Census Tract 379 Bronx County,13490,17,3
697,0.1111111111,Census Tract 383.02 Bronx County,14685,18,2
698,0,Census Tract 383.02 Bronx County,14685,18,NA
699,0,Census Tract 385 Bronx County,13390,31,NA
700,0,Census Tract 387 Bronx County,14381,36,NA
701,0.07843137255,Census Tract 395 Bronx County,17093,51,4
702,0,Census Tract 375.04 Bronx County,12072,28,NA
703,0.1111111111,Census Tract 387 Bronx County,14381,36,4
704,0,Census Tract 389 Bronx County,14560,73,NA
705,0.03571428571,Census Tract 375.04 Bronx County,12072,28,1
706,0,Census Tract 391 Bronx County,19561,76,NA
707,0.09589041096,Census Tract 389 Bronx County,14560,73,7
708,0,Census Tract 373 Bronx County,16737,37,NA
709,0.1081081081,Census Tract 373 Bronx County,16737,37,4
710,0.1052631579,Census Tract 391 Bronx County,19561,76,8
711,0,Census Tract 371 Bronx County,19493,20,NA
712,0.15,Census Tract 371 Bronx County,19493,20,3
713,0,Census Tract 393 Bronx County,13622,20,NA
714,0,Census Tract 365.01 Bronx County,12868,21,NA
715,0.1428571429,Census Tract 365.01 Bronx County,12868,21,3
716,0,Census Tract 363 Bronx County,14787,25,NA
717,0.08,Census Tract 363 Bronx County,14787,25,2
718,0,Census Tract 361 Bronx County,11300,1,NA
719,0.1363636364,Census Tract 383.01 Bronx County,15672,22,3
720,0.04,Census Tract 381 Bronx County,19837,25,1
721,0,Census Tract 383.01 Bronx County,15672,22,NA
722,0.1071428571,Census Tract 237.02 Bronx County,18361,28,3
723,0,Census Tract 237.02 Bronx County,18361,28,NA
724,0,Census Tract 399.01 Bronx County,13131,43,NA
725,0.02325581395,Census Tract 399.01 Bronx County,13131,43,1
726,0.08695652174,Census Tract 235.01 Bronx County,14238,23,2
727,0,Census Tract 237.04 Bronx County,15053,23,NA
728,0.04347826087,Census Tract 237.04 Bronx County,15053,23,1
729,0,Census Tract 237.03 Bronx County,15643,49,NA
730,0,Census Tract 401 Bronx County,19000,39,NA
731,0.07692307692,Census Tract 401 Bronx County,19000,39,3
732,0.04081632653,Census Tract 237.03 Bronx County,15643,49,2
733,0,Census Tract 239 Bronx County,16351,69,NA
734,0.07246376812,Census Tract 239 Bronx County,16351,69,5
735,0,Census Tract 251 Bronx County,16598,41,NA
736,0.07317073171,Census Tract 251 Bronx County,16598,41,3
737,0,Census Tract 253 Bronx County,16694,20,NA
738,0,Census Tract 265 Bronx County,18721,41,NA
739,0.0487804878,Census Tract 265 Bronx County,18721,41,2
740,0,Census Tract 263 Bronx County,18235,9,NA
741,0,Census Tract 245.02 Bronx County,17676,14,NA
742,0.1428571429,Census Tract 245.02 Bronx County,17676,14,2
743,0,Census Tract 255 Bronx County,17260,10,NA
744,0.2,Census Tract 255 Bronx County,17260,10,2
745,0,Census Tract 257 Bronx County,24010,7,NA
746,0,Census Tract 269 Bronx County,21456,6,NA
747,0,Census Tract 267.01 Bronx County,19747,15,NA
748,0.06666666667,Census Tract 267.01 Bronx County,19747,15,1
749,0,Census Tract 267.02 Bronx County,18327,1,NA
750,0,Census Tract 273 Bronx County,20567,16,NA
751,0,Census Tract 279 Bronx County,26175,17,NA
752,0,Census Tract 277 Bronx County,20434,21,NA
753,0.1176470588,Census Tract 279 Bronx County,26175,17,2
754,0,Census Tract 283 Bronx County,19231,60,NA
755,0.1333333333,Census Tract 283 Bronx County,19231,60,8
756,0.04761904762,Census Tract 277 Bronx County,20434,21,1
757,0.1666666667,Census Tract 397 Bronx County,4099,24,4
758,0,Census Tract 397 Bronx County,4099,24,NA
759,0,Census Tract 425 Bronx County,16412,44,NA
760,0,Census Tract 405.02 Bronx County,19611,10,NA
761,0,Census Tract 407.02 Bronx County,18217,24,NA
762,0.125,Census Tract 407.02 Bronx County,18217,24,3
763,0,Census Tract 415 Bronx County,23411,11,NA
764,0.09090909091,Census Tract 415 Bronx County,23411,11,1
765,0.1,Census Tract 405.02 Bronx County,19611,10,1
766,0,Census Tract 405.01 Bronx County,19413,14,NA
767,0.07142857143,Census Tract 405.01 Bronx County,19413,14,1
768,0,Census Tract 413 Bronx County,27385,12,NA
769,0.3333333333,Census Tract 413 Bronx County,27385,12,4
770,0,Census Tract 403.02 Bronx County,18271,10,NA
771,0.1,Census Tract 403.02 Bronx County,18271,10,1
772,0,Census Tract 411 Bronx County,17424,24,NA
773,0,Census Tract 403.04 Bronx County,16000,8,NA
774,0,Census Tract 403.03 Bronx County,18903,7,NA
775,0,Census Tract 407.01 Bronx County,24252,22,NA
776,0.1818181818,Census Tract 407.01 Bronx County,24252,22,4
777,0,Census Tract 409 Bronx County,35633,1,NA
778,0.125,Census Tract 411 Bronx County,17424,24,3
779,0,Census Tract 421 Bronx County,20646,25,NA
780,0.04,Census Tract 421 Bronx County,20646,25,1
781,0,Census Tract 419 Bronx County,24091,21,NA
782,0,Census Tract 431 Bronx County,17669,40,NA
783,0.05,Census Tract 431 Bronx County,17669,40,2
784,0,Census Tract 423 Bronx County,23993,30,NA
785,0.06666666667,Census Tract 423 Bronx County,23993,30,2
786,0,Census Tract 429.02 Bronx County,17489,21,NA
787,0.09523809524,Census Tract 429.02 Bronx County,17489,21,2
788,0,Census Tract 429.01 Bronx County,18702,3,NA
789,0,Census Tract 449.01 Bronx County,40294,10,NA
790,0,Census Tract 449.02 Bronx County,38984,19,NA
791,0.05263157895,Census Tract 449.02 Bronx County,38984,19,1
792,0,Census Tract 451.01 Bronx County,45143,10,NA
793,0,Census Tract 451.02 Bronx County,48269,4,NA
794,0,Census Tract 4 Bronx County,36549,7,NA
795,0,Census Tract 2 Bronx County,30210,3,NA
796,0.1428571429,Census Tract 4 Bronx County,36549,7,1
797,0,Census Tract 84 Bronx County,30108,1,NA
798,0.07692307692,Census Tract 20 Bronx County,13995,13,1
799,0,Census Tract 20 Bronx County,13995,13,NA
800,0,Census Tract 16 Bronx County,18042,3,NA
801,0,Census Tract 90 Bronx County,18091,15,NA
802,0.06666666667,Census Tract 90 Bronx County,18091,15,1
803,0,Census Tract 38 Bronx County,24620,1,NA
804,0,Census Tract 46 Bronx County,19981,1,NA
805,0,Census Tract 42 Bronx County,16435,24,NA
806,0.1666666667,Census Tract 42 Bronx County,16435,24,4
807,0,Census Tract 28 Bronx County,28454,11,NA
808,0,Census Tract 50.01 Bronx County,17301,7,NA
809,0.2,Census Tract 98 Bronx County,27876,10,2
810,0,Census Tract 98 Bronx County,27876,10,NA
811,0,Census Tract 52 Bronx County,15114,5,NA
812,0.1428571429,Census Tract 50.01 Bronx County,17301,7,1
813,0,Census Tract 48 Bronx County,16282,19,NA
814,0,Census Tract 44 Bronx County,12319,12,NA
815,0,Census Tract 40.01 Bronx County,26299,3,NA
816,0,Census Tract 50.02 Bronx County,15526,27,NA
817,0.03703703704,Census Tract 50.02 Bronx County,15526,27,1
818,0.05263157895,Census Tract 48 Bronx County,16282,19,1
819,0,Census Tract 68 Bronx County,25024,2,NA
820,0,Census Tract 70 Bronx County,19865,19,NA
821,0.1333333333,Census Tract 72 Bronx County,19127,30,4
822,0,Census Tract 72 Bronx County,19127,30,NA
823,0,Census Tract 54 Bronx County,15999,42,NA
824,0.07142857143,Census Tract 54 Bronx County,15999,42,3
825,0.25,Census Tract 62 Bronx County,12802,12,3
826,0,Census Tract 62 Bronx County,12802,12,NA
827,0,Census Tract 76 Bronx County,17839,41,NA
828,0.07317073171,Census Tract 76 Bronx County,17839,41,3
829,0,Census Tract 78 Bronx County,20132,18,NA
830,0.1111111111,Census Tract 78 Bronx County,20132,18,2
831,0,Census Tract 92 Bronx County,20838,57,NA
832,0.1052631579,Census Tract 92 Bronx County,20838,57,6
833,0,Census Tract 96 Bronx County,21422,28,NA
834,0.07142857143,Census Tract 96 Bronx County,21422,28,2
835,0,Census Tract 56 Bronx County,15446,9,NA
836,0,Census Tract 216.01 Bronx County,17872,8,NA
837,0,Census Tract 218 Bronx County,20318,16,NA
838,0,Census Tract 60 Bronx County,19769,6,NA
839,0,Census Tract 222 Bronx County,22185,65,NA
840,0.03076923077,Census Tract 222 Bronx County,22185,65,2
841,0.07142857143,Census Tract 216.02 Bronx County,25195,14,1
842,0,Census Tract 216.02 Bronx County,25195,14,NA
843,0,Census Tract 210.02 Bronx County,31686,3,NA
844,0,Census Tract 206.01 Bronx County,25495,24,NA
845,0.04166666667,Census Tract 206.01 Bronx County,25495,24,1
846,0,Census Tract 202 Bronx County,19004,16,NA
847,0,Census Tract 200 Bronx County,22101,93,NA
848,0.1075268817,Census Tract 200 Bronx County,22101,93,10
849,0,Census Tract 204 Bronx County,25222,9,NA
850,0.1111111111,Census Tract 204 Bronx County,25222,9,1
851,0,Census Tract 220 Bronx County,15443,11,NA
852,0.1818181818,Census Tract 220 Bronx County,15443,11,2
853,0,Census Tract 230 Bronx County,21483,21,NA
854,0.09523809524,Census Tract 230 Bronx County,21483,21,2
855,0,Census Tract 240 Bronx County,20238,21,NA
856,0.1428571429,Census Tract 240 Bronx County,20238,21,3
857,0,Census Tract 236 Bronx County,18552,28,NA
858,0.07142857143,Census Tract 236 Bronx County,18552,28,2
859,0,Census Tract 238 Bronx County,25250,21,NA
860,0.1428571429,Census Tract 238 Bronx County,25250,21,3
861,0,Census Tract 232 Bronx County,24397,16,NA
862,0,Census Tract 244 Bronx County,32188,17,NA
863,0,Census Tract 256 Bronx County,27070,17,NA
864,0.1176470588,Census Tract 256 Bronx County,27070,17,2
865,0,Census Tract 266.01 Bronx County,34056,15,NA
866,0,Census Tract 286 Bronx County,43036,8,NA
867,0,Census Tract 252 Bronx County,30807,17,NA
868,0.1111111111,Census Tract 254 Bronx County,26938,18,2
869,0,Census Tract 254 Bronx County,26938,18,NA
870,0.125,Census Tract 286 Bronx County,43036,8,1
871,0,Census Tract 250 Bronx County,37203,22,NA
872,0.04545454545,Census Tract 250 Bronx County,37203,22,1
873,0,Census Tract 284 Bronx County,NA,7,NA
874,0,Census Tract 266.02 Bronx County,30000,58,NA
875,0.06666666667,Census Tract 266.01 Bronx County,34056,15,1
876,0,Census Tract 296 Bronx County,34439,29,NA
877,0.01724137931,Census Tract 266.02 Bronx County,30000,58,1
878,0,Census Tract 288 Bronx County,46883,26,NA
879,0.1379310345,Census Tract 296 Bronx County,34439,29,4
880,0,Census Tract 224.04 Bronx County,25983,21,NA
881,0,Census Tract 300 Bronx County,31465,25,NA
882,1,Census Tract 276 Bronx County,NA,1,1
883,0.08,Census Tract 300 Bronx County,31465,25,2
884,0,Census Tract 224.01 Bronx County,29412,22,NA
885,0,Census Tract 228 Bronx County,30688,17,NA
886,0,Census Tract 248 Bronx County,33199,24,NA
887,0.1363636364,Census Tract 224.01 Bronx County,29412,22,3
888,0,Census Tract 224.03 Bronx County,19612,19,NA
889,0.1052631579,Census Tract 224.03 Bronx County,19612,19,2
890,0.08333333333,Census Tract 248 Bronx County,33199,24,2
891,0,Census Tract 332.01 Bronx County,28500,3,NA
892,0,Census Tract 330 Bronx County,19195,43,NA
893,0.02325581395,Census Tract 330 Bronx County,19195,43,1
894,0,Census Tract 326 Bronx County,27986,17,NA
895,0,Census Tract 312 Bronx County,36944,26,NA
896,0,Census Tract 310 Bronx County,40444,6,NA
897,0,Census Tract 332.02 Bronx County,24593,9,NA
898,0.2222222222,Census Tract 332.02 Bronx County,24593,9,2
899,0,Census Tract 328 Bronx County,14244,14,NA
900,0,Census Tract 324 Bronx County,15100,10,NA
901,0.1153846154,Census Tract 312 Bronx County,36944,26,3
902,0.1666666667,Census Tract 310 Bronx County,40444,6,1
903,0,Census Tract 336 Bronx County,19319,30,NA
904,0.03333333333,Census Tract 336 Bronx County,19319,30,1
905,0,Census Tract 338 Bronx County,20766,25,NA
906,0,Census Tract 340 Bronx County,22492,11,NA
907,0,Census Tract 342 Bronx County,26148,11,NA
908,0,Census Tract 344 Bronx County,25208,14,NA
909,0,Census Tract 350 Bronx County,28721,8,NA
910,0,Census Tract 360 Bronx County,31789,4,NA
911,0.12,Census Tract 338 Bronx County,20766,25,3
912,0,Census Tract 376 Bronx County,28393,3,NA
913,0,Census Tract 374 Bronx County,19609,30,NA
914,0.1,Census Tract 374 Bronx County,19609,30,3
915,0,Census Tract 372 Bronx County,27607,11,NA
916,0.09090909091,Census Tract 372 Bronx County,27607,11,1
917,0,Census Tract 370 Bronx County,25292,17,NA
918,0,Census Tract 348 Bronx County,25129,16,NA
919,0,Census Tract 378 Bronx County,25692,11,NA
920,0.1818181818,Census Tract 378 Bronx County,25692,11,2
921,0,Census Tract 392 Bronx County,21402,8,NA
922,0.25,Census Tract 392 Bronx County,21402,8,2
923,0,Census Tract 394 Bronx County,21165,14,NA
924,0.1428571429,Census Tract 394 Bronx County,21165,14,2
925,0,Census Tract 380 Bronx County,21569,24,NA
926,0.04166666667,Census Tract 380 Bronx County,21569,24,1
927,0,Census Tract 390 Bronx County,24271,18,NA
928,0,Census Tract 396 Bronx County,22290,24,NA
929,0.1111111111,Census Tract 390 Bronx County,24271,18,2
930,0,Census Tract 418 Bronx County,19529,29,NA
931,0,Census Tract 368 Bronx County,27159,9,NA
932,0,Census Tract 382 Bronx County,29056,3,NA
933,0,Census Tract 388 Bronx County,30616,3,NA
934,0,Census Tract 398 Bronx County,35833,4,NA
935,0.1111111111,Census Tract 368 Bronx County,27159,9,1
936,0,Census Tract 386 Bronx County,27402,31,NA
937,0.09677419355,Census Tract 386 Bronx County,27402,31,3
938,0,Census Tract 358 Bronx County,29979,20,NA
939,0,Census Tract 364 Bronx County,33299,27,NA
940,0.2962962963,Census Tract 364 Bronx County,33299,27,8
941,0,Census Tract 462.02 Bronx County,22912,49,NA
942,0.05,Census Tract 358 Bronx County,29979,20,1
943,0,Census Tract 356 Bronx County,29974,2,NA
944,0.08163265306,Census Tract 462.02 Bronx County,22912,49,4
945,0,Census Tract 408 Bronx County,20351,11,NA
946,0,Census Tract 420 Bronx County,21220,19,NA
947,0.2105263158,Census Tract 420 Bronx County,21220,19,4
948,0,Census Tract 406 Bronx County,24863,22,NA
949,0,Census Tract 422 Bronx County,26468,35,NA
950,0.1142857143,Census Tract 422 Bronx County,26468,35,4
951,0,Census Tract 404 Bronx County,30704,14,NA
952,0,Census Tract 424 Bronx County,29746,8,NA
953,0,Census Tract 460 Bronx County,21875,3,NA
954,0,Census Tract 484 Bronx County,32917,27,NA
955,0.03703703704,Census Tract 484 Bronx County,32917,27,1
956,0,Census Tract 426 Bronx County,32653,7,NA
957,0,Census Tract 456 Bronx County,34412,7,NA
958,0.1428571429,Census Tract 456 Bronx County,34412,7,1
959,0,Census Tract 434 Bronx County,24518,35,NA
960,0,Census Tract 430 Bronx County,26324,4,NA
961,0.05714285714,Census Tract 434 Bronx County,24518,35,2
962,0,Census Tract 436 Bronx County,36447,5,NA
963,0,Census Tract 444 Bronx County,28092,2,NA
964,0.1071428571,Census Tract 414 Bronx County,22580,28,3
965,0,Census Tract 414 Bronx County,22580,28,NA
966,0,Census Tract 30 Westchester County,28403,2,NA
967,0.1818181818,Census Tract 442 Bronx County,25592,11,2
968,0,Census Tract 442 Bronx County,25592,11,NA
969,0,Census Tract 302 Bronx County,33310,6,NA
970,0.1666666667,Census Tract 302 Bronx County,33310,6,1
971,0,Census Tract 462.01 Bronx County,30809,69,NA
972,0.115942029,Census Tract 462.01 Bronx County,30809,69,8
973,0,Census Tract 194 Bronx County,28621,17,NA
974,0,Census Tract 184 Bronx County,29590,19,NA
975,0,Census Tract 274.01 Bronx County,47105,1,NA
976,0,Census Tract 289 Bronx County,24896,57,NA
977,0.1666666667,Census Tract 264 Bronx County,29671,18,3
978,0,Census Tract 264 Bronx County,29671,18,NA
979,0,Census Tract 274.02 Bronx County,40030,3,NA
980,0,Census Tract 164 Bronx County,35197,18,NA
981,0.05555555556,Census Tract 164 Bronx County,35197,18,1
982,0,Census Tract 162 Bronx County,28361,16,NA
983,0,Census Tract 287 Bronx County,29091,14,NA
984,0.0625,Census Tract 162 Bronx County,28361,16,1
985,0,Census Tract 158 Bronx County,29623,8,NA
986,0,Census Tract 132 Bronx County,49617,10,NA
987,0,Census Tract 160 Bronx County,37455,2,NA
988,0,Census Tract 118 Bronx County,21789,4,NA
989,0,Census Tract 138 Bronx County,35563,3,NA
990,0.25,Census Tract 118 Bronx County,21789,4,1
991,0,Census Tract 166 Bronx County,31199,12,NA
992,0.08333333333,Census Tract 166 Bronx County,31199,12,1
993,0,Census Tract 152 Bronx County,36902,21,NA
994,0.04761904762,Census Tract 152 Bronx County,36902,21,1
995,0,Census Tract 144 Bronx County,18600,3,NA
996,0,Census Tract 516 Bronx County,50610,40,NA
997,0.175,Census Tract 516 Bronx County,50610,40,7
998,0.1052631579,Census Tract 289 Bronx County,24896,57,6
999,0,Census Tract 293.02 Bronx County,61451,12,NA
1000,0.08333333333,Census Tract 293.02 Bronx County,61451,12,1
1001,0.07142857143,Census Tract 287 Bronx County,29091,14,1
1002,0,Census Tract 285 Bronx County,34045,18,NA
1003,0.1666666667,Census Tract 285 Bronx County,34045,18,3
1004,0,Census Tract 295 Bronx County,49596,36,NA
1005,0.08333333333,Census Tract 295 Bronx County,49596,36,3
1006,0,Census Tract 335 Bronx County,29764,2,NA
1007,0,Census Tract 297 Bronx County,56318,20,NA
1008,0.15,Census Tract 297 Bronx County,56318,20,3
1009,0,Census Tract 351 Bronx County,24477,4,NA
1010,0,Census Tract 337 Bronx County,42950,34,NA
1011,0.1176470588,Census Tract 337 Bronx County,42950,34,4
1012,0.1818181818,Census Tract 345 Bronx County,38085,11,2
1013,0,Census Tract 345 Bronx County,38085,11,NA
1014,0,Census Tract 145 Kings County,36224,43,NA
1015,0,Census Tract 343 Bronx County,40799,6,NA
1016,0.1666666667,Census Tract 343 Bronx County,40799,6,1
1017,0,Census Tract 307.01 Bronx County,68571,3,NA
1018,0,Census Tract 323 Bronx County,50925,15,NA
1019,0.1333333333,Census Tract 323 Bronx County,50925,15,2
1020,0,Census Tract 21 Kings County,100729,64,NA
1021,0.140625,Census Tract 21 Kings County,100729,64,9
1022,0,Census Tract 13 Kings County,70609,10,NA
1023,0.2,Census Tract 13 Kings County,70609,10,2
1024,0,Census Tract 15 Kings County,54457,28,NA
1025,0,Census Tract 23 Kings County,13972,1,NA
1026,0,Census Tract 11 Kings County,81591,52,NA
1027,0.1538461538,Census Tract 11 Kings County,81591,52,8
1028,0.03571428571,Census Tract 15 Kings County,54457,28,1
1029,0,Census Tract 33 Kings County,66496,38,NA
1030,0,Census Tract 37 Kings County,79306,82,NA
1031,0.2195121951,Census Tract 37 Kings County,79306,82,18
1032,0.2903225806,Census Tract 39 Kings County,68452,31,9
1033,0,Census Tract 39 Kings County,68452,31,NA
1034,0,Census Tract 41 Kings County,63821,33,NA
